task: baseline
n_epoch: 500
train_patch_size: 512
lr: 0.0002
bs: 1
n_crop_per_img: 8
train_dgain_range: [10, 200]
save_freq: 100
clean_img_dir: /data/feiran/datasets/sid_sony/Sony/long
benchmark_dir: /data2/feiran/datasets/dev_phase_release
n_worker: 16
seed: 0





epoch: 347, train loss: 6.3346e-03, train psnr: 41.72
epoch: 348, train loss: 6.1801e-03, train psnr: 41.95
epoch: 349, train loss: 6.3781e-03, train psnr: 41.72
epoch: 350, train loss: 6.2652e-03, train psnr: 41.88
epoch: 351, train loss: 6.1514e-03, train psnr: 42.03
epoch: 352, train loss: 6.3675e-03, train psnr: 41.77
epoch: 353, train loss: 6.0849e-03, train psnr: 41.98
epoch: 354, train loss: 6.2681e-03, train psnr: 41.72
epoch: 355, train loss: 6.1049e-03, train psnr: 41.93
epoch: 356, train loss: 6.4574e-03, train psnr: 41.59
epoch: 357, train loss: 6.1832e-03, train psnr: 41.98
epoch: 358, train loss: 6.4238e-03, train psnr: 41.77
epoch: 359, train loss: 6.2070e-03, train psnr: 41.90
epoch: 360, train loss: 6.2987e-03, train psnr: 41.83
epoch: 361, train loss: 6.3626e-03, train psnr: 41.74
epoch: 362, train loss: 6.2587e-03, train psnr: 41.82
epoch: 363, train loss: 6.2374e-03, train psnr: 41.74
epoch: 364, train loss: 6.3889e-03, train psnr: 41.72
epoch: 365, train loss: 6.2255e-03, train psnr: 41.84
epoch: 366, train loss: 6.4199e-03, train psnr: 41.66
epoch: 367, train loss: 6.2588e-03, train psnr: 41.85
epoch: 368, train loss: 6.3281e-03, train psnr: 41.78
epoch: 369, train loss: 6.0676e-03, train psnr: 41.99
epoch: 370, train loss: 6.2798e-03, train psnr: 41.81
epoch: 371, train loss: 6.3040e-03, train psnr: 41.81
epoch: 372, train loss: 6.3677e-03, train psnr: 41.83
epoch: 373, train loss: 6.2194e-03, train psnr: 41.90
epoch: 374, train loss: 6.3503e-03, train psnr: 41.72
epoch: 375, train loss: 6.1907e-03, train psnr: 41.88
epoch: 376, train loss: 6.3773e-03, train psnr: 41.80
epoch: 377, train loss: 6.0945e-03, train psnr: 41.98
epoch: 378, train loss: 6.3154e-03, train psnr: 41.76
epoch: 379, train loss: 6.0907e-03, train psnr: 42.03
epoch: 380, train loss: 6.0815e-03, train psnr: 42.00
epoch: 381, train loss: 6.1644e-03, train psnr: 41.98
epoch: 382, train loss: 6.1540e-03, train psnr: 42.01
epoch: 383, train loss: 6.0806e-03, train psnr: 41.96
epoch: 384, train loss: 6.3257e-03, train psnr: 41.72
epoch: 385, train loss: 6.2893e-03, train psnr: 41.79
epoch: 386, train loss: 6.3102e-03, train psnr: 41.64
epoch: 387, train loss: 6.0307e-03, train psnr: 42.01
epoch: 388, train loss: 6.4099e-03, train psnr: 41.68
epoch: 389, train loss: 6.1884e-03, train psnr: 41.97
epoch: 390, train loss: 6.2449e-03, train psnr: 41.87
epoch: 391, train loss: 6.2815e-03, train psnr: 41.72
epoch: 392, train loss: 6.2090e-03, train psnr: 41.92
epoch: 393, train loss: 6.1137e-03, train psnr: 41.97
epoch: 394, train loss: 6.2027e-03, train psnr: 41.97
epoch: 395, train loss: 6.4230e-03, train psnr: 41.59
epoch: 396, train loss: 6.2255e-03, train psnr: 41.84
epoch: 397, train loss: 6.2164e-03, train psnr: 41.77
epoch: 398, train loss: 6.2569e-03, train psnr: 41.92
epoch: 399, train loss: 6.0909e-03, train psnr: 41.96
epoch: 400, train loss: 6.2867e-03, train psnr: 41.89
epoch: 401, train loss: 6.2351e-03, train psnr: 41.67
epoch: 402, train loss: 6.0321e-03, train psnr: 42.06
epoch: 403, train loss: 6.0100e-03, train psnr: 42.07
epoch: 404, train loss: 5.9783e-03, train psnr: 42.09
epoch: 405, train loss: 5.9718e-03, train psnr: 42.10
epoch: 406, train loss: 6.0287e-03, train psnr: 42.11
epoch: 407, train loss: 6.3396e-03, train psnr: 41.74
epoch: 408, train loss: 6.2377e-03, train psnr: 41.81
epoch: 409, train loss: 6.2417e-03, train psnr: 41.78
epoch: 410, train loss: 6.1770e-03, train psnr: 41.95
epoch: 411, train loss: 6.1691e-03, train psnr: 41.80
epoch: 412, train loss: 6.2479e-03, train psnr: 41.90
epoch: 413, train loss: 6.1708e-03, train psnr: 42.00
epoch: 414, train loss: 6.1504e-03, train psnr: 42.12
epoch: 415, train loss: 6.2684e-03, train psnr: 41.87
epoch: 416, train loss: 6.0126e-03, train psnr: 42.08
epoch: 417, train loss: 6.2101e-03, train psnr: 41.80
epoch: 418, train loss: 6.2990e-03, train psnr: 41.81
epoch: 419, train loss: 6.0537e-03, train psnr: 42.02
epoch: 420, train loss: 6.1691e-03, train psnr: 41.93
epoch: 421, train loss: 6.1350e-03, train psnr: 42.09
epoch: 422, train loss: 6.1421e-03, train psnr: 41.97
epoch: 423, train loss: 6.1804e-03, train psnr: 41.94
epoch: 424, train loss: 5.9628e-03, train psnr: 42.27
epoch: 425, train loss: 5.8982e-03, train psnr: 42.23
epoch: 426, train loss: 6.1409e-03, train psnr: 41.96
epoch: 427, train loss: 6.1449e-03, train psnr: 42.03
epoch: 428, train loss: 6.2976e-03, train psnr: 41.72
epoch: 429, train loss: 6.0744e-03, train psnr: 42.20
epoch: 430, train loss: 6.0886e-03, train psnr: 41.98
epoch: 431, train loss: 6.1032e-03, train psnr: 41.93
epoch: 432, train loss: 5.9432e-03, train psnr: 42.12
epoch: 433, train loss: 6.0828e-03, train psnr: 41.95
epoch: 434, train loss: 6.0728e-03, train psnr: 42.01
epoch: 435, train loss: 6.1126e-03, train psnr: 41.93
